train_loss,val_loss,train_auc,val_auc,train_acc,val_acc,train_pre,val_pre,train_rec,val_rec
0.6496747353676356,0.39337689059408415,0.9266369854749037,0.7880256938552903,0.8507361268403171,0.940337224383917,0.8662146892655367,1.0,0.7345726331927942,0.005405405405405406
0.3405215513924465,0.2919990276548185,0.9802447832853121,0.7943316893989539,0.9454888637221593,0.940337224383917,0.9936319718928415,0.5714285714285714,0.8671904944423151,0.021621621621621623
0.24318350483310047,0.2713444877304765,0.984526518706533,0.7960955781583585,0.948961872404681,0.938715953307393,0.9888075764098149,0.4,0.8804139517056343,0.043243243243243246
0.2039403324365256,0.26892949835954166,0.9859953301532204,0.7968190335903341,0.9537183842959608,0.9328793774319066,0.9840235442505781,0.2962962962962963,0.8970870065159064,0.08648648648648649
0.1858954218062602,0.27022040833449706,0.9864234320704609,0.7970912616652527,0.9536428841072103,0.9302853437094682,0.9736625514403292,0.2857142857142857,0.9068608662322729,0.10810810810810811
0.17794226885809453,0.27019340519813867,0.9870890898449621,0.7972348340061345,0.9523593808984523,0.9296368352788587,0.9683479681437615,0.2777777777777778,0.9087773093139134,0.10810810810810811
0.17601983975288596,0.2709208433015028,0.9870553545257352,0.7975089266569089,0.9534163835409588,0.9280155642023347,0.972091114303304,0.26582278481012656,0.9078190877730932,0.11351351351351352
0.17405934561790723,0.2709235146197209,0.9872004904107892,0.797617072056534,0.9535673839184597,0.9289883268482491,0.9674994921795653,0.27631578947368424,0.9128018397853583,0.11351351351351352
0.17189714470396586,0.2712964772037804,0.9872470227088597,0.7977587798215602,0.954397885994715,0.9289883268482491,0.9694749694749695,0.27631578947368424,0.9129934840935224,0.11351351351351352
0.17195054453109607,0.27148532420010263,0.9870207119580081,0.7977774255801162,0.9534918837297093,0.9283398184176395,0.9674928890694839,0.2692307692307692,0.9126101954771944,0.11351351351351352
0.17231909956919467,0.271608692421137,0.9870342968105488,0.7978184462489395,0.9519063797659494,0.9280155642023347,0.9662120903724811,0.26582278481012656,0.9097355308547336,0.11351351351351352
0.1699914144396377,0.27173038184565484,0.9874767237041066,0.7978296337040732,0.9531898829747074,0.9280155642023347,0.9655731065208586,0.2716049382716049,0.9137600613261786,0.11891891891891893
0.1718203349326547,0.2718546438174644,0.9869169036296291,0.7978389565833511,0.9543223858059645,0.9280155642023347,0.9683248730964467,0.2716049382716049,0.9139517056343427,0.11891891891891893
0.17139651006957457,0.27188499124017673,0.9868934345434293,0.7978417534471346,0.9526613816534542,0.9280155642023347,0.9660913705583757,0.2716049382716049,0.9118436182445382,0.11891891891891893
0.17077950407150064,0.27191986562986165,0.9871151135519385,0.7978426857350625,0.9536428841072103,0.9276913099870299,0.9671266233766234,0.2682926829268293,0.9133767727098505,0.11891891891891893
0.16903637049951029,0.2719357148991794,0.9876925055973651,0.797840821159207,0.9537938844847113,0.9276913099870299,0.9669505271695052,0.2682926829268293,0.9139517056343427,0.11891891891891893
0.16697526815005995,0.2719530313144089,0.9880074402016996,0.7978259045523619,0.9550773876934693,0.9280155642023347,0.9691495839253095,0.2716049382716049,0.9151015714833269,0.11891891891891893
0.16906043039195354,0.27195748214243914,0.9876398851843597,0.7978240399765063,0.9539448848622122,0.9280155642023347,0.9660194174757282,0.2716049382716049,0.915293215791491,0.11891891891891893
0.17044051523679335,0.2719642059870267,0.9872683430486119,0.7978240399765064,0.952963382408456,0.9276913099870299,0.9649868447682656,0.2682926829268293,0.9137600613261786,0.11891891891891893
0.1709265729849093,0.27196977610292755,0.9870678291926114,0.7978165816730838,0.9535673839184597,0.9276913099870299,0.9690238434888934,0.2682926829268293,0.911268685320046,0.11891891891891893
0.169288229503556,0.271974213170093,0.9874870854369759,0.7978147170972284,0.954246885617214,0.9276913099870299,0.9669906844876468,0.2682926829268293,0.9151015714833269,0.11891891891891893
0.1710691196681554,0.2719758212972244,0.986956273439541,0.7978128525213728,0.9531898829747074,0.9276913099870299,0.9657617504051864,0.2682926829268293,0.9135684170180146,0.11891891891891893
0.16856741765144861,0.27197640108961696,0.9876394076851491,0.7978109879455172,0.9536428841072103,0.9276913099870299,0.9663695299837926,0.2682926829268293,0.9141433499425067,0.11891891891891893
0.17051689423741642,0.27197727171556807,0.987121822415847,0.7978128525213727,0.9525103812759532,0.9276913099870299,0.9638164544168183,0.2682926829268293,0.9137600613261786,0.11891891891891893
0.17052266100142396,0.2719785488281887,0.9869275041121038,0.7978128525213727,0.9537938844847113,0.9276913099870299,0.9677091795288384,0.2682926829268293,0.9131851284016864,0.11891891891891893
